"date","location","count of orders","average click to ship","average ship to porch"
"2022-06-02 00:00:00","HQ DC : HQ DC - goodr.com",2004,3.0581,4.7533
"2022-06-03 00:00:00","HQ DC : HQ DC - goodr.com",2590,3.3656,4.3431
"2022-06-03 00:00:00","HQ DC : HQ DC - sellgoodr",1,4.9166,6.0000
"2022-06-04 00:00:00","HQ DC : HQ DC - goodr.com",2637,3.9518,3.9195
"2022-06-05 00:00:00","HQ DC : HQ DC - goodr.com",3050,3.4741,4.0700
"2022-06-05 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.7500,3.1666
"2022-06-06 00:00:00","HQ DC : HQ DC - goodr.com",2560,3.2166,4.3887
"2022-06-06 00:00:00","HQ DC : HQ DC - sellgoodr",2,3.1250,5.1041
"2022-06-07 00:00:00","HQ DC : HQ DC - goodr.com",2139,3.0482,5.6816
"2022-06-08 00:00:00","HQ DC : HQ DC - goodr.com",2587,3.0800,5.1170
"2022-06-09 00:00:00","HQ DC : HQ DC - goodr.com",2331,4.0101,3.7023
"2022-06-10 00:00:00","HQ DC : HQ DC - sellgoodr",1,2.7083,4.8333
"2022-06-10 00:00:00","HQ DC : HQ DC - goodr.com",2522,3.7901,4.8590
"2022-06-11 00:00:00","HQ DC : HQ DC - goodr.com",2811,3.3595,4.5977
"2022-06-11 00:00:00","HQ DC : HQ DC - sellgoodr",1,2.7083,3.2500
"2022-06-12 00:00:00","HQ DC : HQ DC - goodr.com",3107,2.9016,4.5720
"2022-06-13 00:00:00","HQ DC : HQ DC - goodr.com",2662,2.4307,4.5253
"2022-06-14 00:00:00","HQ DC : HQ DC - goodr.com",3185,2.8091,5.1607
"2022-06-15 00:00:00","HQ DC : HQ DC - sellgoodr",2,6.0624,9.8749
"2022-06-15 00:00:00","HQ DC : HQ DC - goodr.com",2879,2.8848,5.0086
"2022-06-16 00:00:00","HQ DC : HQ DC - sellgoodr",2,3.5208,5.5833
"2022-06-16 00:00:00","HQ DC : HQ DC - goodr.com",2193,2.5653,4.8547
"2022-06-17 00:00:00","HQ DC : HQ DC - goodr.com",2564,3.0942,4.6813
"2022-06-18 00:00:00","HQ DC : HQ DC - goodr.com",2577,3.2951,4.7279
"2022-06-19 00:00:00","HQ DC : HQ DC - sellgoodr",12,3.8853,6.1874
"2022-06-19 00:00:00","HQ DC : HQ DC - goodr.com",3271,3.4711,4.8429
"2022-06-20 00:00:00","HQ DC : HQ DC - sellgoodr",95,4.0951,5.9767
"2022-06-20 00:00:00","HQ DC : HQ DC - goodr.com",2994,2.8845,4.9559
"2022-06-21 00:00:00","HQ DC : HQ DC - goodr.com",4490,2.8497,6.1250
"2022-06-21 00:00:00","HQ DC : HQ DC - sellgoodr",88,5.4246,5.7371
"2022-06-22 00:00:00","HQ DC : HQ DC - goodr.com",3113,4.3571,4.9323
"2022-06-22 00:00:00","HQ DC : HQ DC - sellgoodr",86,5.2451,5.8420
"2022-06-23 00:00:00","HQ DC : HQ DC - sellgoodr",177,4.6581,5.8085
"2022-06-23 00:00:00","HQ DC : HQ DC - goodr.com",2197,3.8706,4.8177
"2022-06-24 00:00:00","HQ DC : HQ DC - goodr.com",2248,4.2918,5.2358
"2022-06-24 00:00:00","HQ DC : HQ DC - sellgoodr",99,4.3429,6.1241
"2022-06-25 00:00:00","HQ DC : HQ DC - sellgoodr",56,3.3042,6.8630
"2022-06-25 00:00:00","HQ DC : HQ DC - goodr.com",2680,3.7728,5.2627
"2022-06-26 00:00:00","HQ DC : HQ DC - goodr.com",3980,3.7198,6.1431
"2022-06-26 00:00:00","HQ DC : HQ DC - sellgoodr",39,3.6132,6.6516
"2022-06-27 00:00:00","HQ DC : HQ DC - goodr.com",2986,5.5217,5.9206
"2022-06-27 00:00:00","HQ DC : HQ DC - sellgoodr",130,4.3304,6.7454
"2022-06-28 00:00:00","HQ DC : HQ DC - sellgoodr",83,5.0893,6.5858
"2022-06-28 00:00:00","HQ DC : HQ DC - goodr.com",2415,5.7553,5.8676
"2022-06-29 00:00:00","HQ DC : HQ DC - goodr.com",2257,6.1046,5.6170
"2022-06-29 00:00:00","HQ DC : HQ DC - sellgoodr",84,4.6537,7.0847
"2022-06-30 00:00:00","HQ DC : HQ DC - sellgoodr",55,5.2560,6.8386
"2022-06-30 00:00:00","HQ DC : HQ DC - goodr.com",2202,5.4152,5.6146
"2022-07-01 00:00:00","HQ DC : HQ DC - goodr.com",2639,4.6265,5.6671
"2022-07-01 00:00:00","HQ DC : HQ DC - sellgoodr",57,4.2777,6.4743
"2022-07-02 00:00:00","HQ DC : HQ DC - goodr.com",2615,4.3377,5.7721
"2022-07-02 00:00:00","HQ DC : HQ DC - sellgoodr",30,3.4291,6.5582
"2022-07-03 00:00:00","HQ DC : HQ DC - goodr.com",3499,3.9317,6.6835
"2022-07-03 00:00:00","HQ DC : HQ DC - sellgoodr",33,3.0668,6.4583
"2022-07-04 00:00:00","HQ DC : HQ DC - goodr.com",3571,3.5649,6.6439
"2022-07-04 00:00:00","HQ DC : HQ DC - sellgoodr",21,3.5396,5.8769
"2022-07-05 00:00:00","HQ DC : HQ DC - goodr.com",3053,3.6649,6.9065
"2022-07-05 00:00:00","HQ DC : HQ DC - sellgoodr",64,3.1933,6.0299
